state,district,forecast_date,rainfall_since_june_1_pct_departure,rainfall_last_7_days_pct_departure,rainfall_last_14_days_pct_departure,monsoon_onset_status,week1_rainfall_signal,week2_rainfall_signal,week3_4_rainfall_signal,seasonal_monsoon_context,tmax_signal,tmin_signal,heat_wave_warning,heavy_rain_warning,humidity_heat_index_signal,imd_source_notes,data_quality
Bihar,Gaya,2026-06-27,NEEDS_VERIFICATION,-60,-50,delayed,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions shows Large Deficient zone, but exact district value needs verification",LOW_CONFIDENCE
Bihar,Patna,2026-06-27,NEEDS_VERIFICATION,-40,-30,delayed,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,below_normal_risk,above_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions shows Large Deficient zone, but exact district value needs verification",LOW_CONFIDENCE
Uttar Pradesh,Varanasi,2026-06-27,NEEDS_VERIFICATION,-25,-15,normal,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions shows Normal zone, but exact district value needs verification",LOW_CONFIDENCE
Uttar Pradesh,Lucknow,2026-06-27,NEEDS_VERIFICATION,-70,-60,delayed,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions shows Deficient zone, but exact district value needs verification",LOW_CONFIDENCE
Maharashtra,Yavatmal,2026-06-27,NEEDS_VERIFICATION,20,10,active,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,normal,near_normal,near_normal,false,true,normal,"IMD Weekly Rainfall Regions shows Excess zone, but exact district value needs verification",LOW_CONFIDENCE
Maharashtra,Nagpur,2026-06-27,NEEDS_VERIFICATION,-15,-5,active,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions shows Normal zone, but exact district value needs verification",LOW_CONFIDENCE
Rajasthan,Jaipur,2026-06-27,NEEDS_VERIFICATION,-35,-25,delayed,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions shows Deficient zone, but exact district value needs verification",LOW_CONFIDENCE
Rajasthan,Jodhpur,2026-06-27,NEEDS_VERIFICATION,-45,-35,delayed,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions shows Deficient zone, but exact district value needs verification",LOW_CONFIDENCE
Andhra Pradesh,Anantapur,2026-06-27,NEEDS_VERIFICATION,30,20,active,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,above_normal,near_normal,near_normal,false,true,normal,"IMD Weekly Rainfall Regions shows Excess zone, but exact district value needs verification",LOW_CONFIDENCE
Andhra Pradesh,Kurnool,2026-06-27,NEEDS_VERIFICATION,10,0,active,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,NEEDS_IMD_FORECAST,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions shows Normal zone, but exact district value needs verification",LOW_CONFIDENCE
