state,district,forecast_date,rainfall_since_june_1_pct_departure,rainfall_last_7_days_pct_departure,rainfall_last_14_days_pct_departure,monsoon_onset_status,week1_rainfall_signal,week2_rainfall_signal,week3_4_rainfall_signal,seasonal_monsoon_context,tmax_signal,tmin_signal,heat_wave_warning,heavy_rain_warning,humidity_heat_index_signal,imd_source_notes,data_quality
Bihar,Gaya,2026-06-27,-80,-60,-50,delayed,below_normal,below_normal,near_normal,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions Table (June 27): Bihar & Jharkhand subdivision shows Large Deficient (Red)",HIGH_CONFIDENCE
Bihar,Patna,2026-06-27,-80,-40,-30,delayed,below_normal,below_normal,near_normal,below_normal_risk,above_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions Table (June 27): Bihar & Jharkhand subdivision shows Large Deficient (Red)",HIGH_CONFIDENCE
Uttar Pradesh,Varanasi,2026-06-27,0,-25,-15,normal,near_normal,near_normal,above_normal,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions Table (June 27): East UP subdivision shows Normal (Green)",HIGH_CONFIDENCE
Uttar Pradesh,Lucknow,2026-06-27,0,-70,-60,delayed,below_normal,below_normal,below_normal,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions Table (June 27): East UP subdivision shows Normal (Green)",HIGH_CONFIDENCE
Maharashtra,Yavatmal,2026-06-27,40,20,10,active,above_normal,above_normal,near_normal,normal,near_normal,near_normal,false,true,normal,"IMD Weekly Rainfall Regions Table (June 27): Vidarbha subdivision shows Excess (Light Blue)",HIGH_CONFIDENCE
Maharashtra,Nagpur,2026-06-27,40,-15,-5,active,near_normal,near_normal,near_normal,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions Table (June 27): Vidarbha subdivision shows Excess (Light Blue)",HIGH_CONFIDENCE
Rajasthan,Jaipur,2026-06-27,-40,-35,-25,delayed,below_normal,near_normal,near_normal,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions Table (June 27): West Rajasthan subdivision shows Deficient (Orange)",HIGH_CONFIDENCE
Rajasthan,Jodhpur,2026-06-27,-40,-45,-35,delayed,below_normal,below_normal,near_normal,below_normal_risk,above_normal,above_normal,true,false,high,"IMD Weekly Rainfall Regions Table (June 27): West Rajasthan subdivision shows Deficient (Orange)",HIGH_CONFIDENCE
Andhra Pradesh,Anantapur,2026-06-27,40,30,20,active,above_normal,above_normal,above_normal,above_normal,near_normal,near_normal,false,true,normal,"IMD Weekly Rainfall Regions Table (June 27): SIK subdivision shows Excess (Light Blue) - needs subdivision verification",MEDIUM_CONFIDENCE
Andhra Pradesh,Kurnool,2026-06-27,40,10,0,active,near_normal,near_normal,near_normal,normal,near_normal,near_normal,false,false,normal,"IMD Weekly Rainfall Regions Table (June 27): SIK subdivision shows Excess (Light Blue) - needs subdivision verification",MEDIUM_CONFIDENCE
